"","s1"
"1354",182839.694616316
"1355",90478.6197271919
"1356",224155.918906959
"1357",157743.689088069
"1358",134846.651722439
"1359",198752.554741885
"1360",121789.034942732
"1361",105045.667041472
"1362",148469.650855853
"1363",266199.896775292
"1364",184804.767462999
"1365",134064.129378826
"1366",130523.43468508
"1367",136025.939530264
"1368",241790.781184141
"1369",222793.510057704
"1370",231555.939687678
"1371",203873.630744496
"1372",216029.461617083
"1373",278321.335519809
"1374",233365.77312443
"1375",237686.132683071
"1376",220196.188462982
"1377",176907.044032965
"1378",143630.98564234
"1379",176509.522150153
"1380",192811.49587742
"1381",205775.593426759
"1382",220970.035529621
"1383",151172.997533424
"1384",163118.817332311
"1385",100595.115560996
"1386",208561.368369669
"1387",183929.944865485
"1388",204500.938697011
"1389",213892.405351406
"1390",272316.892839184
"1391",218061.684743272
"1392",230033.763466733
"1393",233787.230181504
"1394",157633.493208582
"1395",199434.44495606
"1396",212855.677850954
"1397",213768.660503451
"1398",200050.950002932
"1399",126206.888674617
"1400",138286.25025822
"1401",128351.72771043
"1402",198580.801316849
"1403",140521.120449681
"1404",241450.107216253
"1405",139990.589512222
"1406",175792.001276415
"1407",82616.5988391736
"1408",122465.539777753
"1409",121165.557561669
"1410",91941.6880730594
"1411",89245.0281662787
"1412",34991.3942778903
"1413",106722.499603922
"1414",106223.126169374
"1415",137875.691108426
"1416",155888.026591378
"1417",133833.636481811
"1418",199684.671300655
"1419",134531.565938707
"1420",102246.815463564
"1421",167874.281836126
"1422",182842.790506547
"1423",204630.686502834
"1424",192293.039492763
"1425",193011.088200308
"1426",221313.745336847
"1427",102962.760509286
"1428",141184.418557486
"1429",49357.2629756733
"1430",55438.6958860461
"1431",150229.177088903
"1432",34078.4130822391
"1433",88441.8495531654
"1434",27826.5168601851
"1435",302475.980687557
"1436",278121.434125326
"1437",199631.897182945
"1438",154194.166311391
"1439",223637.01671295
"1440",158816.49241635
"1441",209768.727904752
"1442",209085.839502322
"1443",293220.133899404
"1444",315174.032641662
"1445",81648.8274438104
"1446",211727.943598728
"1447",114940.950036225
"1448",111085.966368723
"1449",145267.230411415
"1450",75575.2685050065
"1451",77170.2295008369
"1452",143911.355862354
"1453",64543.8057241576
"1454",70328.0626105401
"1455",71734.7721355131
"1456",64543.8057241576
"1457",137215.955235783
"1458",124988.4671757
"1459",226989.570844778
