"","predict(lm_modelo, test, na.action = ""na.pass"")"
"1349",138126.183944907
"1350",129405.728523381
"1351",154047.769505086
"1352",156240.841972754
"1353",204024.618670731
"1354",181786.096266039
"1355",90298.915064704
"1356",225710.769332528
"1357",162399.049789379
"1358",136724.576003954
"1359",196591.762042263
"1360",122641.194526639
"1361",106793.617276909
"1362",144739.892615537
"1363",263043.329081929
"1364",182297.7044553
"1365",135707.447467733
"1366",128532.749681029
"1367",133552.676871345
"1368",239362.793724529
"1369",225084.867865639
"1370",233716.364409397
"1371",203355.64004731
"1372",215011.728176149
"1373",279092.429559335
"1374",232472.710957209
"1375",235949.946468798
"1376",219179.132577682
"1377",178445.427490324
"1378",145154.861641735
"1379",174357.548410308
"1380",192819.382675682
"1381",205208.601565925
"1382",220676.435798957
"1383",149509.572278896
"1384",160493.012131945
"1385",98414.0551882759
"1386",206836.532982635
"1387",182655.429627342
"1388",204960.136642835
"1389",214377.626464017
"1390",272593.468697254
"1391",217058.253026968
"1392",230011.13031367
"1393",233548.296867493
"1394",156123.274695828
"1395",198778.604285088
"1396",211724.755899832
"1397",212798.418421223
"1398",199276.552836117
"1399",130303.906819205
"1400",136700.465571827
"1401",127493.150388394
"1402",196979.927980377
"1403",140184.229692972
"1404",241979.623885725
"1405",134418.431471182
"1406",168046.349320467
"1407",81547.8458898846
"1408",121058.598472322
"1409",121755.228220745
"1410",83466.3081864006
"1411",93871.2507220211
"1412",34873.472863362
"1413",107450.000562399
"1414",98716.4195739609
"1415",133373.019580364
"1416",153339.423432425
"1417",130747.973442902
"1418",200622.85918659
"1419",127530.625092342
"1420",95729.6267903774
"1421",169506.354666082
"1422",185432.832356706
"1423",206184.768315695
"1424",192674.231268846
"1425",197849.111718901
"1426",222694.907506572
"1427",103642.218357565
"1428",145940.165419679
"1429",54747.3770676766
"1430",58583.4983109975
"1431",148065.21060334
"1432",31224.4832254797
"1433",82787.9382821771
"1434",24856.4850758141
"1435",301630.360875596
"1436",276655.026748289
"1437",199089.016199771
"1438",145136.864804855
"1439",222023.512910054
"1440",155818.30253027
"1441",214126.934389618
"1442",211068.639195291
"1443",295998.278423539
"1444",317595.957944558
"1445",69275.9294847093
"1446",211030.227438205
"1447",112781.716206195
"1448",110496.803839412
"1449",138186.090825401
"1450",74062.0895406461
"1451",72095.3449404589
"1452",140156.271552536
"1453",54874.1529124367
"1454",67162.9434599829
"1455",68913.4103437506
"1456",54874.1529124367
"1457",136929.708782069
"1458",124466.722541456
"1459",224915.990948592
